Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,111.5,-57,90,top
C2,100n,C_0603_1608Metric,120.5,-57,90,top
C3,100n,C_0603_1608Metric,129.5,-57,90,top
C4,100n,C_0603_1608Metric,138.5,-57,90,top
C5,100n,C_0603_1608Metric,111.5,-66,-90,top
C6,100n,C_0603_1608Metric,120.5,-66,-90,top
C7,100n,C_0603_1608Metric,129.5,-66,-90,top
C8,100n,C_0603_1608Metric,138.5,-66,-90,top
C9,100n,C_0603_1608Metric,111.5,-75,90,top
C10,100n,C_0603_1608Metric,120.5,-75,90,top
C11,100n,C_0603_1608Metric,129.5,-75,90,top
C12,100n,C_0603_1608Metric,138.5,-75,90,top
C13,100n,C_0603_1608Metric,111.5,-84,-90,top
C14,100n,C_0603_1608Metric,120.5,-84,-90,top
C15,100n,C_0603_1608Metric,129.5,-84,-90,top
C16,100n,C_0603_1608Metric,138.5,-84,-90,top
C17,100n,C_0603_1608Metric,111.5,-93,90,top
C18,100n,C_0603_1608Metric,120.5,-93,90,top
C19,100n,C_0603_1608Metric,129.5,-93,90,top
C20,100n,C_0603_1608Metric,138.5,-93,90,top
C21,100n,C_0603_1608Metric,153.5,-57,90,top
C22,100n,C_0603_1608Metric,162.5,-57,90,top
C23,100n,C_0603_1608Metric,171.5,-57,90,top
C24,100n,C_0603_1608Metric,180.5,-57,90,top
C25,100n,C_0603_1608Metric,153.5,-66,-90,top
C26,100n,C_0603_1608Metric,162.5,-66,-90,top
C27,100n,C_0603_1608Metric,171.5,-66,-90,top
C28,100n,C_0603_1608Metric,180.5,-66,-90,top
C29,100n,C_0603_1608Metric,153.5,-75,90,top
C30,100n,C_0603_1608Metric,162.5,-75,90,top
C31,100n,C_0603_1608Metric,171.5,-75,90,top
C32,100n,C_0603_1608Metric,180.5,-75,90,top
C33,100n,C_0603_1608Metric,153.5,-84,-90,top
C34,100n,C_0603_1608Metric,162.5,-84,-90,top
C35,100n,C_0603_1608Metric,171.5,-84,-90,top
C36,100n,C_0603_1608Metric,180.5,-84,-90,top
C37,100n,C_0603_1608Metric,153.5,-93,90,top
C38,100n,C_0603_1608Metric,162.5,-93,90,top
C39,100n,C_0603_1608Metric,171.5,-93,90,top
C40,100n,C_0603_1608Metric,180.5,-93,90,top
C41,100n,C_0603_1608Metric,195.5,-57,90,top
C42,100n,C_0603_1608Metric,204.5,-57,90,top
C43,100n,C_0603_1608Metric,213.5,-57,90,top
C44,100n,C_0603_1608Metric,222.5,-57,90,top
C45,100n,C_0603_1608Metric,195.5,-66,-90,top
C46,100n,C_0603_1608Metric,204.5,-66,-90,top
C47,100n,C_0603_1608Metric,213.5,-66,-90,top
C48,100n,C_0603_1608Metric,222.5,-66,-90,top
C49,100n,C_0603_1608Metric,195.5,-75,90,top
C50,100n,C_0603_1608Metric,204.5,-75,90,top
C51,100n,C_0603_1608Metric,213.5,-75,90,top
C52,100n,C_0603_1608Metric,222.5,-75,90,top
C53,100n,C_0603_1608Metric,195.5,-84,-90,top
C54,100n,C_0603_1608Metric,204.5,-84,-90,top
C55,100n,C_0603_1608Metric,213.5,-84,-90,top
C56,100n,C_0603_1608Metric,222.5,-84,-90,top
C57,100n,C_0603_1608Metric,195.5,-93,90,top
C58,100n,C_0603_1608Metric,204.5,-93,90,top
C59,100n,C_0603_1608Metric,213.5,-93,90,top
C60,100n,C_0603_1608Metric,222.5,-93,90,top
D1,WS2812B-2020,WS2812B-2020,107,-57,180,top
D2,WS2812B-2020,WS2812B-2020,143,-66,0,top
D3,WS2812B-2020,WS2812B-2020,107,-75,180,top
D4,WS2812B-2020,WS2812B-2020,143,-84,0,top
D5,WS2812B-2020,WS2812B-2020,107,-93,180,top
D6,WS2812B-2020,WS2812B-2020,116,-57,180,top
D7,WS2812B-2020,WS2812B-2020,134,-66,0,top
D8,WS2812B-2020,WS2812B-2020,116,-75,180,top
D9,WS2812B-2020,WS2812B-2020,134,-84,0,top
D10,WS2812B-2020,WS2812B-2020,116,-93,180,top
D11,WS2812B-2020,WS2812B-2020,125,-57,180,top
D12,WS2812B-2020,WS2812B-2020,125,-66,0,top
D13,WS2812B-2020,WS2812B-2020,125,-75,180,top
D14,WS2812B-2020,WS2812B-2020,125,-84,0,top
D15,WS2812B-2020,WS2812B-2020,125,-93,180,top
D16,WS2812B-2020,WS2812B-2020,134,-57,180,top
D17,WS2812B-2020,WS2812B-2020,116,-66,0,top
